,year_ceremony,category,name,film,bafta
3655,2016,Writing (Original Screenplay),Quentin Tarantino,The Hateful Eight,Nominee
3656,2016,Writing (Original Screenplay),"Josh Cooley, Pete Docter, Meg LeFauve",Inside Out,Nominee
3694,2017,Writing (Adapted Screenplay),Luke Davies,Lion,Winner
3695,2017,Writing (Adapted Screenplay),,Dick Van Dyke,Nominee
3696,2017,Writing (Adapted Screenplay),"Robert Schenkkan, Andrew Knight",Hacksaw Ridge,Nominee
3697,2017,Writing (Adapted Screenplay),"Theodore Melfi, Allison Schroeder",Hidden Figures,Nominee
3698,2017,Writing (Adapted Screenplay),Tom Ford,Nocturnal Animals,Nominee
3721,2017,Directing,Damien Chazelle,La La Land,Winner
3722,2017,Directing,Denis Villeneuve,Arrival,Nominee
3723,2017,Directing,Ken Loach,I Daniel Blake,Nominee
3724,2017,Directing,Kenneth Lonergan,Manchester by the Sea,Nominee
3725,2017,Directing,Tom Ford,Nocturnal Animals,Nominee
3742,2017,Best Picture,"Fred Berger, Jordan Horowitz, Marc Platt",La La Land,Winner
3743,2017,Best Picture,"Dan Levine, Shawn Levy, David Linde, Aaron Ryder",Arrival,Nominee
3744,2017,Best Picture,Rebecca O'Brien,"I, Daniel Blake",Nominee
3745,2017,Best Picture,"Lauren Beck, Matt Damon, Chris Moore, Kimberly Steward, Kevin J. Walsh",Manchester by the Sea,Nominee
3746,2017,Best Picture,"Dede Gardner, Jeremy Kleiner, Adele Romanski",Moonlight,Nominee
3757,2017,Actress in a Leading Role,Emma Stone,La La Land,Winner
3758,2017,Actress in a Leading Role,Amy Adams,Arrival,Nominee
3759,2017,Actress in a Leading Role,Emily Blunt,The Girl on the Train,Nominee
3760,2017,Actress in a Leading Role,Meryl Streep,Florence Foster Jenkins,Nominee
3761,2017,Actress in a Leading Role,Natalie Portman,Jackie,Nominee
3772,2017,Writing (Original Screenplay),Kenneth Lonergan,Manchester by the Sea,Winner
3773,2017,Writing (Original Screenplay),Taylor Sheridan,Hell or High Water,Nominee
3774,2017,Writing (Original Screenplay),Paul Laverty,"I, Daniel Blake",Nominee
3775,2017,Writing (Original Screenplay),Damien Chazelle,La La Land,Nominee
3776,2017,Writing (Original Screenplay),Barry Jenkins,Moonlight,Nominee
3814,2018,Writing (Adapted Screenplay),James Ivory,Call Me by Your Name,Winner
3815,2018,Writing (Adapted Screenplay),"Armando Iannucci, Ian Martin, David Schneider",The Death of Stalin,Nominee
3816,2018,Writing (Adapted Screenplay),Matt Greenhalgh,Film Stars Don't Die in Liverpool,Nominee
3817,2018,Writing (Adapted Screenplay),Aaron Sorkin,Molly's Game,Nominee
3818,2018,Writing (Adapted Screenplay),"Simon Farnaby, Paul King",Paddington 2,Nominee
3822,2018,Best Picture,"Graham Broadbent, Pete Czernin, Martin McDonagh","Three Billboards Outside Ebbing, Missouri",Winner
3823,2018,Best Picture,"Emilie Georges, Luca Guadagnino, Marco Morabito, Peter Spears",Call Me by Your Name,Nominee
3824,2018,Best Picture,"Tim Bevan, Lisa Bruce, Eric Fellner, Anthony McCarten, Douglas Urbanski",Darkest Hour,Nominee
3825,2018,Best Picture,"Christopher Nolan, Emma Thomas",Dunkirk,Nominee
3826,2018,Best Picture,"Guillermo del Toro, J. Miles Dale",The Shape of Water,Nominee
3845,2018,Directing,Guillermo del Toro,The Shape of Water,Winner
3846,2018,Directing,Denis Villeneuve,Blade Runner 2049,Nominee
3847,2018,Directing,Luca Guadagnino,Call Me by Your Name,Nominee
3848,2018,Directing,Christopher Nolan,Dunkirk,Nominee
3849,2018,Directing,Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Nominee
3876,2018,Actress in a Leading Role,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Winner
3877,2018,Actress in a Leading Role,Annette Bening,Film Stars Don't Die in Liverpool,Nominee
3878,2018,Actress in a Leading Role,Margot Robbie,"I, Tonya",Nominee
3879,2018,Actress in a Leading Role,Sally Hawkins,The Shape of Water,Nominee
3880,2018,Actress in a Leading Role,Saoirse Ronan,Lady Bird,Nominee
3891,2018,Writing (Original Screenplay),Martin McDonagh,"Three Billboards Outside Ebbing, Missouri",Winner
