,year_ceremony,category,name,film,golden_globe
5383,2000,Writing (Original Screenplay),John Irving,"Cider House Rules, The",Nominee
5474,2001,Actress In A Leading Role - Drama,Julia Roberts,Erin Brockovich,Winner
5475,2001,Actress In A Leading Role - Drama,Laura Linney,You Can Count On Me,Nominee
5476,2001,Actress In A Leading Role - Drama,Joan Allen,"Contender, The",Nominee
5477,2001,Actress In A Leading Role - Drama,Björk,Dancer In The Dark,Nominee
5478,2001,Actress In A Leading Role - Drama,Ellen Burstyn,Requiem For A Dream,Nominee
5479,2001,Actor In A Leading Role - Drama,Tom Hanks,Cast Away,Winner
5480,2001,Actor In A Leading Role - Drama,Javier Bardem,Before Night Falls,Nominee
5481,2001,Actor In A Leading Role - Drama,Russell Crowe,Gladiator,Nominee
5482,2001,Actor In A Leading Role - Drama,Michael Douglas,Wonder Boys,Nominee
5483,2001,Actor In A Leading Role - Drama,Geoffrey Rush,Quills,Nominee
5484,2001,Actress In A Leading Role - Musical or Comedy,Renée Zellweger,Nurse Betty,Winner
5485,2001,Actress In A Leading Role - Musical or Comedy,Juliette Binoche,Chocolat,Nominee
5486,2001,Actress In A Leading Role - Musical or Comedy,Brenda Blethyn,Saving Grace,Nominee
5487,2001,Actress In A Leading Role - Musical or Comedy,Sandra Bullock,Miss Congeniality,Nominee
5488,2001,Actress In A Leading Role - Musical or Comedy,Tracey Ullman,Small Time Crooks,Nominee
5489,2001,Actor In A Leading Role - Musical or Comedy,George Clooney,"O Brother, Where Art Thou?",Winner
5490,2001,Actor In A Leading Role - Musical or Comedy,Mel Gibson,What Women Want,Nominee
5491,2001,Actor In A Leading Role - Musical or Comedy,Jim Carrey,Dr. Seuss' How The Grinch Stole Christmas!,Nominee
5492,2001,Actor In A Leading Role - Musical or Comedy,John Cusack,High Fidelity,Nominee
5493,2001,Actor In A Leading Role - Musical or Comedy,Robert De Niro,Meet The Parents,Nominee
5494,2001,Actress In A Supporting Role,Kate Hudson,Almost Famous,Winner
5495,2001,Actress In A Supporting Role,Judi Dench,Chocolat,Nominee
5496,2001,Actress In A Supporting Role,Frances McDormand,Almost Famous,Nominee
5497,2001,Actress In A Supporting Role,Julie Walters,Billy Elliot,Nominee
5498,2001,Actress In A Supporting Role,Catherine Zeta-Jones,Traffic,Nominee
5499,2001,Actor In A Supporting Role,Benicio del Toro,Traffic,Winner
5500,2001,Actor In A Supporting Role,Jeff Bridges,"Contender, The",Nominee
5501,2001,Actor In A Supporting Role,Willem Dafoe,Shadow Of The Vampire,Nominee
5502,2001,Actor In A Supporting Role,Albert Finney,Erin Brockovich,Nominee
5503,2001,Actor In A Supporting Role,Joaquin Phoenix,Gladiator,Nominee
5504,2001,Directing,Ang Lee,"Crouching Tiger, Hidden Dragon",Winner
5505,2001,Directing,Ridley Scott,Gladiator,Nominee
5506,2001,Directing,Steven Soderbergh,Erin Brockovich,Nominee
5507,2001,Directing,Steven Soderbergh,Traffic,Nominee
5508,2001,Directing,István Szabó,Sunshine,Nominee
5509,2001,Writing (Original Screenplay),Stephen Gaghan,Traffic,Winner
5510,2001,Writing (Original Screenplay),Cameron Crowe,Almost Famous,Nominee
5511,2001,Writing (Original Screenplay),Douglas Wright,Quills,Nominee
5512,2001,Writing (Original Screenplay),Steve Kloves,Wonder Boys,Nominee
5513,2001,Writing (Original Screenplay),Kenneth Lonergan,You Can Count On Me,Nominee
5601,2002,Actress In A Leading Role - Drama,Sissy Spacek,In The Bedroom,Winner
5602,2002,Actress In A Leading Role - Drama,"Deep End, The",Nan,Nominee
5603,2002,Actress In A Leading Role - Drama,Halle Berry,Monster'S Ball,Nominee
5604,2002,Actress In A Leading Role - Drama,Judi Dench,Iris,Nominee
5605,2002,Actress In A Leading Role - Drama,Nicole Kidman,"Others, The",Nominee
5606,2002,Actor In A Leading Role - Drama,Russell Crowe,A Beautiful Mind,Winner
5607,2002,Actor In A Leading Role - Drama,Kevin Spacey,The Shipping News,Nominee
5608,2002,Actor In A Leading Role - Drama,Will Smith,Ali,Nominee
5609,2002,Actor In A Leading Role - Drama,Billy Bob Thornton,"Man Who Wasn'T There, The",Nominee
5610,2002,Actor In A Leading Role - Drama,Denzel Washington,Training Day,Nominee
5611,2002,Actress In A Leading Role - Musical or Comedy,Nicole Kidman,Moulin Rouge!,Winner
5612,2002,Actress In A Leading Role - Musical or Comedy,Renée Zellweger,Bridget Jones'S Diary,Nominee
5613,2002,Actress In A Leading Role - Musical or Comedy,Thora Birch,Ghost World,Nominee
5614,2002,Actress In A Leading Role - Musical or Comedy,Cate Blanchett,Bandits,Nominee
5615,2002,Actress In A Leading Role - Musical or Comedy,Reese Witherspoon,Legally Blonde,Nominee
5616,2002,Actor In A Leading Role - Musical or Comedy,Gene Hackman,"Royal Tenenbaums, The",Winner
5617,2002,Actor In A Leading Role - Musical or Comedy,Hugh Jackman,Kate & Leopold,Nominee
5618,2002,Actor In A Leading Role - Musical or Comedy,Ewan McGregor,Moulin Rouge!,Nominee
5619,2002,Actor In A Leading Role - Musical or Comedy,John Cameron Mitchell,Hedwig And The Angry Inch,Nominee
5620,2002,Actor In A Leading Role - Musical or Comedy,Billy Bob Thornton,Bandits,Nominee
5621,2002,Actress In A Supporting Role,Jennifer Connelly,A Beautiful Mind,Winner
5622,2002,Actress In A Supporting Role,Kate Winslet,Iris,Nominee
5623,2002,Actress In A Supporting Role,Cameron Diaz,Vanilla Sky,Nominee
