,year_ceremony,category,film,name,cca
232,2018,Best Picture,A Star Is Born,Bradley Cooper,Nominee
233,2018,Best Picture,Vice,Adam McKay,Nominee
234,2019,Best Picture,Once Upon a Time in Hollywood,Quentin Tarantino,Winner
235,2019,Best Picture,1917,Sam Mendes,Nominee
236,2019,Best Picture,Ford v Ferrari,James Mangold,Nominee
237,2019,Best Picture,The Irishman,Martin Scorsese,Nominee
238,2019,Best Picture,Jojo Rabbit,Taika Waititi,Nominee
239,2019,Best Picture,Joker,Todd Phillips,Nominee
240,2019,Best Picture,Little Women,Greta Gerwig,Nominee
241,2019,Best Picture,Marriage Story,Noah Baumbach,Nominee
242,2019,Best Picture,Parasite,Bong Joon-ho,Nominee
243,2019,Best Picture,Uncut Gems,Josh Safdie and Benny Safdie,Nominee
244,2020,Best Picture,Nomadland,Chloé Zhao,Winner
245,2020,Best Picture,Da 5 Bloods,Spike Lee,Nominee
246,2020,Best Picture,Ma Rainey's Black Bottom,George C. Wolfe,Nominee
247,2020,Best Picture,Mank,David Fincher,Nominee
248,2020,Best Picture,Minari,Lee Isaac Chung,Nominee
249,2020,Best Picture,News of the World,Paul Greengrass,Nominee
250,2020,Best Picture,One Night in Miami...,Regina King,Nominee
251,2020,Best Picture,Promising Young Woman,Emerald Fennell,Nominee
252,2020,Best Picture,Sound of Metal,Darius Marder,Nominee
253,2020,Best Picture,The Trial of the Chicago 7,Aaron Sorkin,Nominee
254,2021,Best Picture,The Power of the Dog,Jane Campion,Winner
255,2021,Best Picture,Belfast,Kenneth Branagh,Nominee
256,2021,Best Picture,CODA,Sian Heder,Nominee
257,2021,Best Picture,Don't Look Up,Adam McKay,Nominee
258,2021,Best Picture,Dune,Denis Villeneuve,Nominee
259,2021,Best Picture,King Richard,Reinaldo Marcus Green,Nominee
260,2021,Best Picture,Licorice Pizza,Paul Thomas Anderson,Nominee
261,2021,Best Picture,Nightmare Alley,Guillermo del Toro,Nominee
262,2021,Best Picture,"tick, tick... BOOM!",Lin-Manuel Miranda,Nominee
263,2021,Best Picture,West Side Story,Steven Spielberg,Nominee
264,2022,Best Picture,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,Winner
265,2022,Best Picture,Avatar: The Way of Water,James Cameron,Nominee
266,2022,Best Picture,Babylon,Damien Chazelle,Nominee
267,2022,Best Picture,The Banshees of Inisherin,Martin McDonagh,Nominee
268,2022,Best Picture,Elvis,Baz Luhrmann,Nominee
269,2022,Best Picture,The Fabelmans,Steven Spielberg,Nominee
270,2022,Best Picture,Glass Onion: A Knives Out Mystery,Rian Johnson,Nominee
271,2022,Best Picture,RRR,S. S. Rajamouli,Nominee
272,2022,Best Picture,Tár,Todd Field,Nominee
273,2022,Best Picture,Top Gun: Maverick,Joseph Kosinski,Nominee
274,2022,Best Picture,Women Talking,Sarah Polley,Nominee
