,year_ceremony,category,name,film,oscar
8919,2009,Actress In A Leading Role,Kate Winslet,The Reader,Winner
8920,2009,Actress In A Supporting Role,Amy Adams,Doubt,Nominee
8921,2009,Actress In A Supporting Role,Penélope Cruz,Vicky Cristina Barcelona,Winner
8922,2009,Actress In A Supporting Role,Viola Davis,Doubt,Nominee
8923,2009,Actress In A Supporting Role,Taraji P. Henson,The Curious Case Of Benjamin Button,Nominee
8924,2009,Actress In A Supporting Role,Marisa Tomei,The Wrestler,Nominee
8943,2009,Directing,David Fincher,The Curious Case Of Benjamin Button,Nominee
8944,2009,Directing,Ron Howard,Frost/Nixon,Nominee
8945,2009,Directing,Gus Van Sant,Milk,Nominee
8946,2009,Directing,Stephen Daldry,The Reader,Nominee
8947,2009,Directing,Danny Boyle,Slumdog Millionaire,Winner
8962,2009,International Feature Film,Germany,The Baader Meinhof Complex,Nominee
8963,2009,International Feature Film,France,The Class,Nominee
8964,2009,International Feature Film,Japan,Departures,Winner
8965,2009,International Feature Film,Austria,Revanche,Nominee
8966,2009,International Feature Film,Israel,Waltz With Bashir,Nominee
8978,2009,Best Picture,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",The Curious Case Of Benjamin Button,Nominee
8979,2009,Best Picture,"Brian Grazer, Ron Howard and Eric Fellner, Producers",Frost/Nixon,Nominee
8980,2009,Best Picture,"Dan Jinks and Bruce Cohen, Producers",Milk,Nominee
8981,2009,Best Picture,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",The Reader,Nominee
8982,2009,Best Picture,"Christian Colson, Producer",Slumdog Millionaire,Winner
9006,2009,Writing (Adapted Screenplay),Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,The Curious Case Of Benjamin Button,Nominee
9007,2009,Writing (Adapted Screenplay),Written by John Patrick Shanley,Doubt,Nominee
9008,2009,Writing (Adapted Screenplay),Screenplay by Peter Morgan,Frost/Nixon,Nominee
9009,2009,Writing (Adapted Screenplay),Screenplay by David Hare,The Reader,Nominee
9010,2009,Writing (Adapted Screenplay),Screenplay by Simon Beaufoy,Slumdog Millionaire,Winner
9011,2009,Writing (Original Screenplay),Written by Courtney Hunt,Frozen River,Nominee
9012,2009,Writing (Original Screenplay),Written by Mike Leigh,Happy-Go-Lucky,Nominee
9013,2009,Writing (Original Screenplay),Written by Martin McDonagh,In Bruges,Nominee
9014,2009,Writing (Original Screenplay),Written by Dustin Lance Black,Milk,Winner
9015,2009,Writing (Original Screenplay),"Screenplay by Andrew Stanton, Jim Reardon; Original story by Andrew Stanton, Pete Docter",Wall-E,Nominee
9017,2010,Actor In A Leading Role,Jeff Bridges,Crazy Heart,Winner
9018,2010,Actor In A Leading Role,George Clooney,Up In The Air,Nominee
9019,2010,Actor In A Leading Role,Colin Firth,A Single Man,Nominee
9020,2010,Actor In A Leading Role,Morgan Freeman,Invictus,Nominee
9021,2010,Actor In A Leading Role,Jeremy Renner,The Hurt Locker,Nominee
9022,2010,Actor In A Supporting Role,Matt Damon,Invictus,Nominee
9023,2010,Actor In A Supporting Role,Woody Harrelson,The Messenger,Nominee
9024,2010,Actor In A Supporting Role,Christopher Plummer,The Last Station,Nominee
9025,2010,Actor In A Supporting Role,Stanley Tucci,The Lovely Bones,Nominee
9026,2010,Actor In A Supporting Role,Christoph Waltz,Inglourious Basterds,Winner
9027,2010,Actress In A Leading Role,Sandra Bullock,The Blind Side,Winner
9028,2010,Actress In A Leading Role,Helen Mirren,The Last Station,Nominee
9029,2010,Actress In A Leading Role,Carey Mulligan,An Education,Nominee
9030,2010,Actress In A Leading Role,Gabourey Sidibe,Precious: Based On The Novel 'Push' By Sapphire,Nominee
9031,2010,Actress In A Leading Role,Meryl Streep,Julie & Julia,Nominee
9032,2010,Actress In A Supporting Role,Penélope Cruz,Nine,Nominee
9033,2010,Actress In A Supporting Role,Vera Farmiga,Up In The Air,Nominee
9034,2010,Actress In A Supporting Role,Maggie Gyllenhaal,Crazy Heart,Nominee
9035,2010,Actress In A Supporting Role,Anna Kendrick,Up In The Air,Nominee
9036,2010,Actress In A Supporting Role,Mo'Nique,Precious: Based On The Novel 'Push' By Sapphire,Winner
9057,2010,Directing,James Cameron,Avatar,Nominee
9058,2010,Directing,Kathryn Bigelow,The Hurt Locker,Winner
9059,2010,Directing,Quentin Tarantino,Inglourious Basterds,Nominee
9060,2010,Directing,Lee Daniels,Precious: Based On The Novel 'Push' By Sapphire,Nominee
9061,2010,Directing,Jason Reitman,Up In The Air,Nominee
