,year_ceremony,category,name,film,oscar,golden_globe,sag,cca
203,1994,Directing,Steven Spielberg,Schindler'S List,Winner,No,No,No
204,1994,Directing,Robert Altman,Short Cuts,Nominee,No,No,No
205,1994,International Feature Film,Spain,Belle Epoque,Winner,No,No,No
206,1994,International Feature Film,Hong Kong,Farewell My Concubine,Nominee,No,No,No
207,1994,International Feature Film,United Kingdom,Hedd Wyn,Nominee,No,No,No
208,1994,International Feature Film,Vietnam,The Scent Of Green Papaya,Nominee,No,No,No
209,1994,International Feature Film,Taiwan,The Wedding Banquet,Nominee,No,No,No
210,1994,Best Picture,"Arnold Kopelson, Producer","Fugitive, The",Nominee,No,No,No
211,1994,Best Picture,"Jim Sheridan, Producer",In The Name Of The Father,Nominee,No,No,No
212,1994,Best Picture,"Jan Chapman, Producer",The Piano,Nominee,No,No,No
213,1994,Best Picture,"Mike Nichols, John Calley and Ismail Merchant, Producers","Remains Of The Day, The",Nominee,No,No,No
214,1994,Best Picture,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Schindler'S List,Winner,No,No,No
215,1994,Writing (Adapted Screenplay),"Jay Cocks, Martin Scorsese","Age Of Innocence, The",Nominee,No,No,No
216,1994,Writing (Adapted Screenplay),"Terry George, Jim Sheridan",In The Name Of The Father,Nominee,No,No,No
217,1994,Writing (Adapted Screenplay),Ruth Prawer Jhabvala,"Remains Of The Day, The",Nominee,No,No,No
218,1994,Writing (Adapted Screenplay),Steven Zaillian,Schindler'S List,Winner,No,No,No
219,1994,Writing (Adapted Screenplay),William Nicholson,Shadowlands,Nominee,No,No,No
220,1994,Writing (Original Screenplay),Gary Ross,Dave,Nominee,No,No,No
221,1994,Writing (Original Screenplay),Jeff Maguire,In The Line Of Fire,Nominee,No,No,No
222,1994,Writing (Original Screenplay),Ron Nyswaner,Philadelphia,Nominee,No,No,No
223,1994,Writing (Original Screenplay),Jane Campion,The Piano,Winner,No,No,No
224,1994,Writing (Original Screenplay),"Screenplay by Nora Ephron, David S. Ward, Jeff Arch;  Story by Jeff Arch",Sleepless In Seattle,Nominee,No,No,No
225,1995,Actor In A Leading Role,Morgan Freeman,"Shawshank Redemption, The",Nominee,No,No,No
226,1995,Actor In A Leading Role,Tom Hanks,Forrest Gump,Winner,No,No,No
227,1995,Actor In A Leading Role,Nigel Hawthorne,The Madness Of King George,Nominee,No,No,No
228,1995,Actor In A Leading Role,Paul Newman,Nobody'S Fool,Nominee,No,No,No
229,1995,Actor In A Leading Role,John Travolta,Pulp Fiction,Nominee,No,No,No
230,1995,Actor In A Supporting Role,Samuel L. Jackson,Pulp Fiction,Nominee,No,No,No
231,1995,Actor In A Supporting Role,Martin Landau,Ed Wood,Winner,No,No,No
232,1995,Actor In A Supporting Role,Chazz Palminteri,Bullets Over Broadway,Nominee,No,No,No
233,1995,Actor In A Supporting Role,Paul Scofield,Quiz Show,Nominee,No,No,No
234,1995,Actor In A Supporting Role,Gary Sinise,Forrest Gump,Nominee,No,No,No
235,1995,Actress In A Leading Role,Jodie Foster,Nell,Nominee,No,No,No
236,1995,Actress In A Leading Role,Jessica Lange,Blue Sky,Winner,No,No,No
237,1995,Actress In A Leading Role,Miranda Richardson,Tom & Viv,Nominee,No,No,No
238,1995,Actress In A Leading Role,Winona Ryder,Little Women,Nominee,No,No,No
239,1995,Actress In A Leading Role,Susan Sarandon,The Client,Nominee,No,No,No
240,1995,Actress In A Supporting Role,Rosemary Harris,Tom & Viv,Nominee,No,No,No
241,1995,Actress In A Supporting Role,Helen Mirren,The Madness Of King George,Nominee,No,No,No
242,1995,Actress In A Supporting Role,Uma Thurman,Pulp Fiction,Nominee,No,No,No
243,1995,Actress In A Supporting Role,Jennifer Tilly,Bullets Over Broadway,Nominee,No,No,No
244,1995,Actress In A Supporting Role,Dianne Wiest,Bullets Over Broadway,Winner,No,No,No
245,1995,Directing,Woody Allen,Bullets Over Broadway,Nominee,No,No,No
246,1995,Directing,Robert Zemeckis,Forrest Gump,Winner,No,No,No
247,1995,Directing,Quentin Tarantino,Pulp Fiction,Nominee,No,No,No
248,1995,Directing,Robert Redford,Quiz Show,Nominee,No,No,No
249,1995,Directing,Krzysztof Kieslowski,Red,Nominee,No,No,No
250,1995,International Feature Film,The Former Yugoslav Republic of Macedonia,Before The Rain,Nominee,No,No,No
251,1995,International Feature Film,Russia,Burnt By The Sun,Winner,No,No,No
252,1995,International Feature Film,Taiwan,Eat Drink Man Woman,Nominee,No,No,No
253,1995,International Feature Film,Belgium,Farinelli: Il Castrato,Nominee,No,No,No
254,1995,International Feature Film,Cuba,Strawberry And Chocolate,Nominee,No,No,No
255,1995,Best Picture,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",Forrest Gump,Winner,No,No,No
256,1995,Best Picture,"Duncan Kenworthy, Producer",Four Weddings And A Funeral,Nominee,No,No,No
257,1995,Best Picture,"Lawrence Bender, Producer",Pulp Fiction,Nominee,No,No,No
258,1995,Best Picture,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",Quiz Show,Nominee,No,No,No
259,1995,Best Picture,"Niki Marvin, Producer","Shawshank Redemption, The",Nominee,No,No,No
260,1995,Writing (Adapted Screenplay),Eric Roth,Forrest Gump,Winner,No,No,No
261,1995,Writing (Adapted Screenplay),Alan Bennett,The Madness Of King George,Nominee,No,No,No
262,1995,Writing (Adapted Screenplay),Robert Benton,Nobody'S Fool,Nominee,No,No,No
263,1995,Writing (Adapted Screenplay),Paul Attanasio,Quiz Show,Nominee,No,No,No
264,1995,Writing (Adapted Screenplay),Frank Darabont,"Shawshank Redemption, The",Nominee,No,No,No
265,1995,Writing (Original Screenplay),"Woody Allen, Douglas McGrath",Bullets Over Broadway,Nominee,No,No,No
266,1995,Writing (Original Screenplay),Richard Curtis,Four Weddings And A Funeral,Nominee,No,No,No
267,1995,Writing (Original Screenplay),"Frances Walsh, Peter Jackson",Heavenly Creatures,Nominee,No,No,No
